Directorate,Question Text,Response Answer,Response Score,Question Status,Assignment Category,Person Number,User Person Type,System Person Type,Enterprise Hire Date,Month,Response Text,Response (%),Response Status,Grade Name,Length Of Service,LOS Bands
Financial Planning dummy directorate,"Overall, I am satisfied with my current role at the Bank.",Agree,,Active,Standard full time,226545,Permanent,Employee,26/09/2022,2023 / 03,,1,Submitted,Scale G,0.536986301,0 - 5 Years
Financial Planning dummy directorate,I feel a sense of belonging at the Bank.,Agree,,Active,Standard full time,226595,Permanent,Employee,19/09/2022,2023 / 03,,1,Submitted,Scale E,0.528767123,0 - 5 Years
Financial Planning dummy directorate,"Regardless of background, everyone at the Bank has an equal opportunity to succeed.",Agree,,Active,Standard full time,226595,Permanent,Employee,19/09/2022,2023 / 03,,1,Submitted,Scale E,0.528767123,0 - 5 Years
Financial Planning dummy directorate,I am able to successfully balance my work and personal life,Not Answered,,Active,Standard full time,226595,Permanent,Employee,19/09/2022,2023 / 03,,1,Submitted,Scale E,0.528767123,0 - 5 Years
Financial Planning dummy directorate,I am fairly compensated for the work that I do.,Agree,,Active,Standard full time,226595,Permanent,Employee,19/09/2022,2023 / 03,,1,Submitted,Scale E,0.528767123,0 - 5 Years
Financial Planning dummy directorate,Senior leaders (Governors and Executives) demonstrate a visible commitment to diversity.,Agree,,Active,Standard full time,226595,Permanent,Employee,19/09/2022,2023 / 03,,1,Submitted,Scale E,0.528767123,0 - 5 Years
Financial Planning dummy directorate,I feel a sense of belonging at the Bank.,Strongly Disagree,,Active,Standard full time,226212,Permanent,Employee,05/09/2022,2023 / 02,,1,Submitted,Scale GP,0.490410959,0 - 5 Years
Financial Planning dummy directorate,"Regardless of background, everyone at the Bank has an equal opportunity to succeed.",Disagree,,Active,Standard full time,226212,Permanent,Employee,05/09/2022,2023 / 02,,1,Submitted,Scale GP,0.490410959,0 - 5 Years
Financial Planning dummy directorate,I am able to successfully balance my work and personal life,Not Answered,,Active,Standard full time,226212,Permanent,Employee,05/09/2022,2023 / 02,,1,Submitted,Scale GP,0.490410959,0 - 5 Years
Financial Planning dummy directorate,I am fairly compensated for the work that I do.,Disagree,,Active,Standard full time,226212,Permanent,Employee,05/09/2022,2023 / 02,,1,Submitted,Scale GP,0.490410959,0 - 5 Years
Financial Planning dummy directorate,Senior leaders (Governors and Executives) demonstrate a visible commitment to diversity.,Strongly Agree,,Active,Standard full time,226212,Permanent,Employee,05/09/2022,2023 / 02,,1,Submitted,Scale GP,0.490410959,0 - 5 Years
Financial Planning dummy directorate,I have been able to successfully balance my work and personal life.,Strongly Agree,,Active,Standard full time,226220,Permanent,Employee,05/09/2022,2023 / 05,,1,Submitted,Scale GP,0.912328767,0 - 5 Years
Financial Planning dummy directorate,"Overall, I am satisfied with my current role at the Bank.",Strongly Agree,,Active,Standard full time,226220,Permanent,Employee,05/09/2022,2023 / 05,,1,Submitted,Scale GP,0.912328767,0 - 5 Years
Financial Planning dummy directorate,I have been able to successfully balance my work and personal life.,Disagree,,Active,Standard full time,226869,Permanent,Employee,19/09/2022,2023 / 04,,1,Submitted,Scale F,0.561643836,0 - 5 Years
Financial Planning dummy directorate,"Overall, I am satisfied with my current role at the Bank.",Disagree,,Active,Standard full time,226869,Permanent,Employee,19/09/2022,2023 / 04,,1,Submitted,Scale F,0.561643836,0 - 5 Years
Financial Planning dummy directorate,I feel a sense of belonging at the Bank.,Agree,,Active,Standard full time,226994,Fixed-term,Employee,07/11/2022,2023 / 02,,1,Submitted,Scale H,0.317808219,0 - 5 Years
Financial Planning dummy directorate,"Regardless of background, everyone at the Bank has an equal opportunity to succeed.",Not Answered,,Active,Standard full time,226994,Fixed-term,Employee,07/11/2022,2023 / 02,,1,Submitted,Scale H,0.317808219,0 - 5 Years
Financial Planning dummy directorate,I am able to successfully balance my work and personal life,Not Answered,,Active,Standard full time,226994,Fixed-term,Employee,07/11/2022,2023 / 02,,1,Submitted,Scale H,0.317808219,0 - 5 Years
Financial Planning dummy directorate,I am fairly compensated for the work that I do.,Agree,,Active,Standard full time,226994,Fixed-term,Employee,07/11/2022,2023 / 02,,1,Submitted,Scale H,0.317808219,0 - 5 Years
Financial Planning dummy directorate,Senior leaders (Governors and Executives) demonstrate a visible commitment to diversity.,Agree,,Active,Standard full time,226994,Fixed-term,Employee,07/11/2022,2023 / 02,,1,Submitted,Scale H,0.317808219,0 - 5 Years
Financial Planning dummy directorate,I have been able to successfully balance my work and personal life.,Not Answered,,Active,Standard full time,222041,Permanent,Employee,07/11/2022,2023 / 08,,1,Submitted,Scale F,0.863013699,0 - 5 Years
Financial Planning dummy directorate,"Overall, I am satisfied with my current role at the Bank.",Not Answered,,Active,Standard full time,222041,Permanent,Employee,07/11/2022,2023 / 08,,1,Submitted,Scale F,0.863013699,0 - 5 Years
Financial Planning dummy directorate,I have been able to successfully balance my work and personal life.,Agree,,Active,Standard full time,222021,Fixed-term,Employee,21/11/2022,2023 / 07,,1,Submitted,Scale D,0.736986301,0 - 5 Years
Financial Planning dummy directorate,"Overall, I am satisfied with my current role at the Bank.",Disagree,,Active,Standard full time,222021,Fixed-term,Employee,21/11/2022,2023 / 07,,1,Submitted,Scale D,0.736986301,0 - 5 Years
Financial Planning dummy directorate,I have been able to successfully balance my work and personal life.,Strongly Agree,,Active,Standard full time,222098,Permanent,Employee,23/01/2023,2023 / 05,,1,Submitted,Scale F,0.317808219,0 - 5 Years
Financial Planning dummy directorate,"Overall, I am satisfied with my current role at the Bank.",Strongly Agree,,Active,Standard full time,222098,Permanent,Employee,23/01/2023,2023 / 05,,1,Submitted,Scale F,0.317808219,0 - 5 Years
Financial Planning dummy directorate,I have been able to successfully balance my work and personal life.,Agree,,Active,Standard full time,222251,Permanent,Employee,24/10/2022,2023 / 08,,1,Submitted,Scale G,1.063013699,0 - 5 Years
Financial Planning dummy directorate,"Overall, I am satisfied with my current role at the Bank.",Agree,,Active,Standard full time,222251,Permanent,Employee,24/10/2022,2023 / 08,,1,Submitted,Scale G,1.063013699,0 - 5 Years
Financial Planning dummy directorate,I have been able to successfully balance my work and personal life.,Agree,,Active,Standard full time,222401,Permanent,Employee,07/11/2022,2023 / 10,,1,Submitted,Scale H,0.969863014,0 - 5 Years
Financial Planning dummy directorate,"Overall, I am satisfied with my current role at the Bank.",Strongly Agree,,Active,Standard full time,222401,Permanent,Employee,07/11/2022,2023 / 10,,1,Submitted,Scale H,0.969863014,0 - 5 Years
Financial Planning dummy directorate,I have been able to successfully balance my work and personal life.,Disagree,,Active,Standard full time,222529,Fixed-term,Employee,21/11/2022,2023 / 10,,1,Submitted,Scale F,0.95890411,0 - 5 Years
Financial Planning dummy directorate,"Overall, I am satisfied with my current role at the Bank.",Strongly Disagree,,Active,Standard full time,222529,Fixed-term,Employee,21/11/2022,2023 / 10,,1,Submitted,Scale F,0.95890411,0 - 5 Years
Financial Planning dummy directorate,I have been able to successfully balance my work and personal life.,Agree,,Active,Standard full time,222520,Fixed-term,Employee,21/11/2022,2023 / 08,,1,Submitted,Scale J,0.778082192,0 - 5 Years
Financial Planning dummy directorate,"Overall, I am satisfied with my current role at the Bank.",Agree,,Active,Standard full time,222520,Fixed-term,Employee,21/11/2022,2023 / 08,,1,Submitted,Scale J,0.778082192,0 - 5 Years
Financial Planning dummy directorate,I have been able to successfully balance my work and personal life.,Agree,,Active,Standard full time,222595,Permanent,Employee,13/02/2023,2023 / 09,,1,Submitted,Scale E,0.621917808,0 - 5 Years
Financial Planning dummy directorate,"Overall, I am satisfied with my current role at the Bank.",Disagree,,Active,Standard full time,222595,Permanent,Employee,13/02/2023,2023 / 09,,1,Submitted,Scale E,0.621917808,0 - 5 Years
Financial Planning dummy directorate,I feel a sense of belonging at the Bank.,Strongly Agree,,Active,Standard full time,222226,Permanent,Employee,12/12/2022,2023 / 02,,1,Submitted,Scale G,0.221917808,0 - 5 Years
Financial Planning dummy directorate,"Regardless of background, everyone at the Bank has an equal opportunity to succeed.",Strongly Agree,,Active,Standard full time,222226,Permanent,Employee,12/12/2022,2023 / 02,,1,Submitted,Scale G,0.221917808,0 - 5 Years
Financial Planning dummy directorate,I am able to successfully balance my work and personal life,Not Answered,,Active,Standard full time,222226,Permanent,Employee,12/12/2022,2023 / 02,,1,Submitted,Scale G,0.221917808,0 - 5 Years
Financial Planning dummy directorate,I am fairly compensated for the work that I do.,Agree,,Active,Standard full time,222226,Permanent,Employee,12/12/2022,2023 / 02,,1,Submitted,Scale G,0.221917808,0 - 5 Years
Financial Planning dummy directorate,Senior leaders (Governors and Executives) demonstrate a visible commitment to diversity.,Agree,,Active,Standard full time,222226,Permanent,Employee,12/12/2022,2023 / 02,,1,Submitted,Scale G,0.221917808,0 - 5 Years
Financial Planning dummy directorate,I feel a sense of belonging at the Bank.,Agree,,Active,Standard full time,222222,Fixed-term,Employee,19/12/2022,2023 / 03,,1,Submitted,Scale J,0.279452055,0 - 5 Years
Financial Planning dummy directorate,"Regardless of background, everyone at the Bank has an equal opportunity to succeed.",Prefer not to say,,Active,Standard full time,222222,Fixed-term,Employee,19/12/2022,2023 / 03,,1,Submitted,Scale J,0.279452055,0 - 5 Years
Financial Planning dummy directorate,I am able to successfully balance my work and personal life,Not Answered,,Active,Standard full time,222222,Fixed-term,Employee,19/12/2022,2023 / 03,,1,Submitted,Scale J,0.279452055,0 - 5 Years
Financial Planning dummy directorate,I am fairly compensated for the work that I do.,Agree,,Active,Standard full time,222222,Fixed-term,Employee,19/12/2022,2023 / 03,,1,Submitted,Scale J,0.279452055,0 - 5 Years
Financial Planning dummy directorate,Senior leaders (Governors and Executives) demonstrate a visible commitment to diversity.,Agree,,Active,Standard full time,222222,Fixed-term,Employee,19/12/2022,2023 / 03,,1,Submitted,Scale J,0.279452055,0 - 5 Years
Financial Planning dummy directorate,I have been able to successfully balance my work and personal life.,Strongly Agree,,Active,Standard full time,222802,Permanent,Employee,05/12/2022,2023 / 08,,1,Submitted,Scale E,0.720547945,0 - 5 Years
Financial Planning dummy directorate,"Overall, I am satisfied with my current role at the Bank.",Disagree,,Active,Standard full time,222802,Permanent,Employee,05/12/2022,2023 / 08,,1,Submitted,Scale E,0.720547945,0 - 5 Years
Financial Planning dummy directorate,I have been able to successfully balance my work and personal life.,Strongly Agree,,Active,Standard full time,228021,Permanent,Employee,30/01/2023,2023 / 04,,1,Submitted,Scale F,-49.2,
Financial Planning dummy directorate,"Overall, I am satisfied with my current role at the Bank.",Strongly Agree,,Active,Standard full time,228021,Permanent,Employee,30/01/2023,2023 / 04,,1,Submitted,Scale F,-49.2,
Financial Planning dummy directorate,I feel a sense of belonging at the Bank.,Prefer not to say,,Active,Standard full time,228050,Permanent,Employee,30/01/2023,2023 / 03,,1,Submitted,Scale I,0.139726027,0 - 5 Years
Financial Planning dummy directorate,"Regardless of background, everyone at the Bank has an equal opportunity to succeed.",Strongly Agree,,Active,Standard full time,228050,Permanent,Employee,30/01/2023,2023 / 03,,1,Submitted,Scale I,0.139726027,0 - 5 Years
Financial Planning dummy directorate,I am able to successfully balance my work and personal life,Not Answered,,Active,Standard full time,228050,Permanent,Employee,30/01/2023,2023 / 03,,1,Submitted,Scale I,0.139726027,0 - 5 Years
Financial Planning dummy directorate,I am fairly compensated for the work that I do.,Disagree,,Active,Standard full time,228050,Permanent,Employee,30/01/2023,2023 / 03,,1,Submitted,Scale I,0.139726027,0 - 5 Years
Financial Planning dummy directorate,Senior leaders (Governors and Executives) demonstrate a visible commitment to diversity.,Prefer not to say,,Active,Standard full time,228050,Permanent,Employee,30/01/2023,2023 / 03,,1,Submitted,Scale I,0.139726027,0 - 5 Years
Financial Planning dummy directorate,I have been able to successfully balance my work and personal life.,Agree,,Active,Standard full time,228426,Permanent,Employee,13/02/2023,2023 / 06,,1,Submitted,Scale I,0.452054795,0 - 5 Years
Financial Planning dummy directorate,"Overall, I am satisfied with my current role at the Bank.",Disagree,,Active,Standard full time,228426,Permanent,Employee,13/02/2023,2023 / 06,,1,Submitted,Scale I,0.452054795,0 - 5 Years
Financial Planning dummy directorate,I have been able to successfully balance my work and personal life.,Agree,,Active,Standard part time,228814,Fixed-term,Employee,12/06/2023,2023 / 10,,1,Submitted,Scale F,0.336986301,0 - 5 Years
Financial Planning dummy directorate,"Overall, I am satisfied with my current role at the Bank.",Disagree,,Active,Standard part time,228814,Fixed-term,Employee,12/06/2023,2023 / 10,,1,Submitted,Scale F,0.336986301,0 - 5 Years
Financial Planning dummy directorate,I have been able to successfully balance my work and personal life.,Strongly Agree,,Active,Standard full time,229122,Fixed-term,Employee,19/06/2023,2023 / 08,,1,Submitted,Scale H,0.2,0 - 5 Years
Financial Planning dummy directorate,"Overall, I am satisfied with my current role at the Bank.",Strongly Agree,,Active,Standard full time,229122,Fixed-term,Employee,19/06/2023,2023 / 08,,1,Submitted,Scale H,0.2,0 - 5 Years
Financial Planning dummy directorate,I have been able to successfully balance my work and personal life.,Disagree,,Active,Standard full time,229241,Fixed-term,Employee,12/06/2023,2023 / 10,,1,Submitted,Scale I,0.443835616,0 - 5 Years
Financial Planning dummy directorate,"Overall, I am satisfied with my current role at the Bank.",Disagree,,Active,Standard full time,229241,Fixed-term,Employee,12/06/2023,2023 / 10,,1,Submitted,Scale I,0.443835616,0 - 5 Years
Financial Planning dummy directorate,I have been able to successfully balance my work and personal life.,Disagree,,Active,Standard full time,229585,Permanent,Employee,29/08/2023,2023 / 09,,1,Submitted,Scale I,0.065753425,0 - 5 Years
Financial Planning dummy directorate,"Overall, I am satisfied with my current role at the Bank.",Agree,,Active,Standard full time,229585,Permanent,Employee,29/08/2023,2023 / 09,,1,Submitted,Scale I,0.065753425,0 - 5 Years
Financial Planning dummy directorate,I have been able to successfully balance my work and personal life.,Strongly Agree,,Active,Standard full time,229291,Permanent,Employee,04/09/2023,2023 / 10,,1,Submitted,Scale GP,0.106849315,0 - 5 Years
Financial Planning dummy directorate,"Overall, I am satisfied with my current role at the Bank.",Strongly Agree,,Active,Standard full time,229291,Permanent,Employee,04/09/2023,2023 / 10,,1,Submitted,Scale GP,0.106849315,0 - 5 Years
Financial Planning dummy directorate,I feel a sense of belonging at the Bank.,Agree,,Active,Standard full time,812021,Permanent,Employee,05/05/1987,2023 / 01,,1,Submitted,Scale D,35.85753425,30 - 40 Years
Financial Planning dummy directorate,"Regardless of background, everyone at the Bank has an equal opportunity to succeed.",Agree,,Active,Standard full time,812021,Permanent,Employee,05/05/1987,2023 / 01,,1,Submitted,Scale D,35.85753425,30 - 40 Years
Financial Planning dummy directorate,I am able to successfully balance my work and personal life,Not Answered,,Active,Standard full time,812021,Permanent,Employee,05/05/1987,2023 / 01,,1,Submitted,Scale D,35.85753425,30 - 40 Years
Financial Planning dummy directorate,I am fairly compensated for the work that I do.,Agree,,Active,Standard full time,812021,Permanent,Employee,05/05/1987,2023 / 01,,1,Submitted,Scale D,35.85753425,30 - 40 Years
Financial Planning dummy directorate,Senior leaders (Governors and Executives) demonstrate a visible commitment to diversity.,Strongly Agree,,Active,Standard full time,812021,Permanent,Employee,05/05/1987,2023 / 01,,1,Submitted,Scale D,35.85753425,30 - 40 Years
Financial Planning dummy directorate,I have been able to successfully balance my work and personal life.,Disagree,,Active,Standard full time,829889,Permanent,Employee,12/05/2008,2023 / 07,,1,Submitted,Scale I,15.22739726,10 - 20 Years
Financial Planning dummy directorate,"Overall, I am satisfied with my current role at the Bank.",Strongly Agree,,Active,Standard full time,829889,Permanent,Employee,12/05/2008,2023 / 07,,1,Submitted,Scale I,15.22739726,10 - 20 Years
Financial Planning dummy directorate,I have been able to successfully balance my work and personal life.,Strongly Agree,,Active,Standard part time,829851,Permanent,Employee,07/07/2008,2023 / 03,,1,Submitted,Scale J,14.77808219,10 - 20 Years
Financial Planning dummy directorate,"Overall, I am satisfied with my current role at the Bank.",Agree,,Active,Standard part time,829851,Permanent,Employee,07/07/2008,2023 / 03,,1,Submitted,Scale J,14.77808219,10 - 20 Years
Financial Planning dummy directorate,I have been able to successfully balance my work and personal life.,Strongly Agree,,Active,Standard full time,882205,Permanent,Employee,14/06/2021,2023 / 05,,1,Submitted,Scale E,2.082191781,0 - 5 Years
Financial Planning dummy directorate,"Overall, I am satisfied with my current role at the Bank.",Agree,,Active,Standard full time,882205,Permanent,Employee,14/06/2021,2023 / 05,,1,Submitted,Scale E,2.082191781,0 - 5 Years
Financial Planning dummy directorate,I feel a sense of belonging at the Bank.,Disagree,,Active,Standard full time,602228,Permanent,Employee,03/03/1980,2023 / 03,,1,Submitted,Scale J,43.10410959,40 - 50 Years
Financial Planning dummy directorate,"Regardless of background, everyone at the Bank has an equal opportunity to succeed.",Agree,,Active,Standard full time,602228,Permanent,Employee,03/03/1980,2023 / 03,,1,Submitted,Scale J,43.10410959,40 - 50 Years
Financial Planning dummy directorate,I am able to successfully balance my work and personal life,Disagree,,Active,Standard full time,602228,Permanent,Employee,03/03/1980,2023 / 03,,1,Submitted,Scale J,43.10410959,40 - 50 Years
Financial Planning dummy directorate,I am fairly compensated for the work that I do.,Agree,,Active,Standard full time,602228,Permanent,Employee,03/03/1980,2023 / 03,,1,Submitted,Scale J,43.10410959,40 - 50 Years
Financial Planning dummy directorate,Senior leaders (Governors and Executives) demonstrate a visible commitment to diversity.,Agree,,Active,Standard full time,602228,Permanent,Employee,03/03/1980,2023 / 03,,1,Submitted,Scale J,43.10410959,40 - 50 Years
Financial Planning dummy directorate,I have been able to successfully balance my work and personal life.,Agree,,Active,Standard full time,969006,Permanent,Employee,09/07/1990,2023 / 06,,1,Submitted,Scale E,33.16986301,30 - 40 Years
Financial Planning dummy directorate,"Overall, I am satisfied with my current role at the Bank.",Strongly Agree,,Active,Standard full time,969006,Permanent,Employee,09/07/1990,2023 / 06,,1,Submitted,Scale E,33.16986301,30 - 40 Years
Financial Planning dummy directorate,I have been able to successfully balance my work and personal life.,Strongly Agree,,Active,Standard full time,926025,Permanent,Employee,16/02/1987,2023 / 10,,1,Submitted,Scale E,-13.22191781,
Financial Planning dummy directorate,"Overall, I am satisfied with my current role at the Bank.",Strongly Agree,,Active,Standard full time,926025,Permanent,Employee,16/02/1987,2023 / 10,,1,Submitted,Scale E,-13.22191781,
Financial Planning dummy directorate,Senior Management in my directorate value different perspectives.,Disagree,,Active,Standard full time,523456,Permanent,Employee,,,,,,,,
Financial Planning dummy directorate,The Bank fosters an environment where everyone can be themselves.,Agree,,Active,Standard full time,523456,Permanent,Employee,,,,,,,,
Financial Planning dummy directorate,I am able to cope effectively with work-related stress. ,Disagree,,Active,Standard full time,523456,Permanent,Employee,,,,,,,,
Financial Planning dummy directorate,I feel free to speak my mind without fear of negative consequences.. ,Disagree,,Active,Standard full time,523456,Permanent,Employee,,,,,,,,
Financial Planning dummy directorate,Senior leaders (Governors and Executives) demonstrate a visible commitment to diversity.,Prefer not to say,,Active,Standard full time,523456,Permanent,Employee,,,,,,,,
Financial Planning dummy directorate,I have been able to successfully balance my work and personal life.,Agree,,Active,Standard part time,987654,Permanent,Employee,,,,,,,,
Financial Planning dummy directorate,"Overall, I am satisfied with my current role at the Bank.",Agree,,Active,Standard part time,987654,Permanent,Employee,,,,,,,,
Financial Planning dummy directorate,Senior Management in my directorate value different perspectives.,Agree,,Active,Standard full time,546523,Permanent,Employee,,,,,,,,
Financial Planning dummy directorate,The Bank fosters an environment where everyone can be themselves.,Strongly Agree,,Active,Standard full time,546523,Permanent,Employee,,,,,,,,
Financial Planning dummy directorate,I am able to cope effectively with work-related stress. ,Not Answered,,Active,Standard full time,546523,Permanent,Employee,,,,,,,,
Financial Planning dummy directorate,I feel free to speak my mind without fear of negative consequences.. ,Agree,,Active,Standard full time,546523,Permanent,Employee,,,,,,,,
Financial Planning dummy directorate,Senior leaders (Governors and Executives) demonstrate a visible commitment to diversity.,Agree,,Active,Standard full time,546523,Permanent,Employee,,,,,,,,
Financial Planning dummy directorate,I have been able to successfully balance my work and personal life.,Disagree,,Active,Standard part time,234567,Fixed-term,Employee,,,,,,,,
Financial Planning dummy directorate,"Overall, I am satisfied with my current role at the Bank.",Strongly Disagree,,Active,Standard part time,234567,Fixed-term,Employee,,,,,,,,
Financial Planning dummy directorate,I have been able to successfully balance my work and personal life.,Agree,,Active,Standard full time,345678,Permanent,Employee,,,,,,,,
Financial Planning dummy directorate,"Overall, I am satisfied with my current role at the Bank.",Agree,,Active,Standard full time,345678,Permanent,Employee,,,,,,,,
Financial Planning dummy directorate,I have been able to successfully balance my work and personal life.,Strongly Disagree,,Active,Standard full time,456789,Permanent,Employee,,,,,,,,
Financial Planning dummy directorate,"Overall, I am satisfied with my current role at the Bank.",Agree,,Active,Standard full time,456789,Permanent,Employee,,,,,,,,
Financial Planning dummy directorate,I have been able to successfully balance my work and personal life.,Agree,,Active,Standard full time,567895,Permanent,Employee,,,,,,,,
Financial Planning dummy directorate,"Overall, I am satisfied with my current role at the Bank.",Prefer not to say,,Active,Standard full time,567895,Permanent,Employee,,,,,,,,
Financial Planning dummy directorate,Senior Management in my directorate value different perspectives.,Disagree,,Active,Standard part time,678952,Permanent,Employee,,,,,,,,
Financial Planning dummy directorate,The Bank fosters an environment where everyone can be themselves.,Agree,,Active,Standard part time,678952,Permanent,Employee,,,,,,,,
Financial Planning dummy directorate,I am able to cope effectively with work-related stress. ,Not Answered,,Active,Standard part time,678952,Permanent,Employee,,,,,,,,
Financial Planning dummy directorate,I feel free to speak my mind without fear of negative consequences.. ,Agree,,Active,Standard part time,678952,Permanent,Employee,,,,,,,,
Financial Planning dummy directorate,Senior leaders (Governors and Executives) demonstrate a visible commitment to diversity.,Disagree,,Active,Standard part time,678952,Permanent,Employee,,,,,,,,
Financial Planning dummy directorate,Senior Management in my directorate value different perspectives.,Strongly Agree,,Active,Standard full time,789523,Permanent,Employee,,,,,,,,
Financial Planning dummy directorate,The Bank fosters an environment where everyone can be themselves.,Strongly Agree,,Active,Standard full time,789523,Permanent,Employee,,,,,,,,
Financial Planning dummy directorate,I am able to cope effectively with work-related stress. ,Not Answered,,Active,Standard full time,789523,Permanent,Employee,,,,,,,,
Financial Planning dummy directorate,I feel free to speak my mind without fear of negative consequences.. ,Strongly Agree,,Active,Standard full time,789523,Permanent,Employee,,,,,,,,
Financial Planning dummy directorate,Senior leaders (Governors and Executives) demonstrate a visible commitment to diversity.,Prefer not to say,,Active,Standard full time,789523,Permanent,Employee,,,,,,,,
Financial Planning dummy directorate,Senior Management in my directorate value different perspectives.,Strongly Agree,,Active,Standard full time,895234,Permanent,Employee,,,,,,,,
Financial Planning dummy directorate,The Bank fosters an environment where everyone can be themselves.,Strongly Agree,,Active,Standard full time,895234,Permanent,Employee,,,,,,,,
Financial Planning dummy directorate,I am able to cope effectively with work-related stress. ,Not Answered,,Active,Standard full time,895234,Permanent,Employee,,,,,,,,
Financial Planning dummy directorate,I feel free to speak my mind without fear of negative consequences.. ,Strongly Agree,,Active,Standard full time,895234,Permanent,Employee,,,,,,,,
Financial Planning dummy directorate,Senior leaders (Governors and Executives) demonstrate a visible commitment to diversity.,Strongly Agree,,Active,Standard full time,895234,Permanent,Employee,,,,,,,,
Financial Planning dummy directorate,I have been able to successfully balance my work and personal life.,Disagree,,Active,Standard part time,952345,Permanent,Employee,,,,,,,,
Financial Planning dummy directorate,"Overall, I am satisfied with my current role at the Bank.",Disagree,,Active,Standard part time,952345,Permanent,Employee,,,,,,,,
Financial Planning dummy directorate,I have been able to successfully balance my work and personal life.,Agree,,Active,Standard full time,876543,Permanent,Employee,,,,,,,,
Financial Planning dummy directorate,"Overall, I am satisfied with my current role at the Bank.",Agree,,Active,Standard full time,876543,Permanent,Employee,,,,,,,,
Financial Planning dummy directorate,I have been able to successfully balance my work and personal life.,Agree,,Active,Standard full time,765432,Permanent,Employee,,,,,,,,
Financial Planning dummy directorate,"Overall, I am satisfied with my current role at the Bank.",Disagree,,Active,Standard full time,765432,Permanent,Employee,,,,,,,,
Financial Planning dummy directorate,I have been able to successfully balance my work and personal life.,Strongly Agree,,Active,Standard full time,654325,Permanent,Employee,,,,,,,,
Financial Planning dummy directorate,"Overall, I am satisfied with my current role at the Bank.",Strongly Agree,,Active,Standard full time,654325,Permanent,Employee,,,,,,,,
Financial Planning dummy directorate,I have been able to successfully balance my work and personal life.,Strongly Agree,,Active,Standard part time,543259,Permanent,Employee,,,,,,,,
Financial Planning dummy directorate,"Overall, I am satisfied with my current role at the Bank.",Strongly Agree,,Active,Standard part time,432598,Permanent,Employee,,,,,,,,
Financial Planning dummy directorate,I have been able to successfully balance my work and personal life.,Agree,,Active,Standard full time,432598,Permanent,Employee,,,,,,,,
Financial Planning dummy directorate,"Overall, I am satisfied with my current role at the Bank.",Disagree,,Active,Standard full time,432598,Permanent,Employee,,,,,,,,
Financial Planning dummy directorate,Senior Management in my directorate value different perspectives.,Strongly Disagree,,Active,Standard full time,325987,Permanent,Employee,,,,,,,,
Financial Planning dummy directorate,The Bank fosters an environment where everyone can be themselves.,Strongly Agree,,Active,Standard full time,325987,Permanent,Employee,,,,,,,,
Financial Planning dummy directorate,I am able to cope effectively with work-related stress. ,Not Answered,,Active,Standard full time,325987,Permanent,Employee,,,,,,,,
Financial Planning dummy directorate,I feel free to speak my mind without fear of negative consequences.. ,Strongly Agree,,Active,Standard full time,325987,Permanent,Employee,,,,,,,,
Financial Planning dummy directorate,Senior leaders (Governors and Executives) demonstrate a visible commitment to diversity.,Disagree,,Active,Standard full time,325987,Permanent,Employee,,,,,,,,
Financial Planning dummy directorate,Senior Management in my directorate value different perspectives.,Agree,,Active,Standard full time,234565,Permanent,Employee,,,,,,,,
Financial Planning dummy directorate,The Bank fosters an environment where everyone can be themselves.,Strongly Agree,,Active,Standard full time,234565,Permanent,Employee,,,,,,,,
Financial Planning dummy directorate,I am able to cope effectively with work-related stress. ,Not Answered,,Active,Standard full time,234565,Permanent,Employee,,,,,,,,
Financial Planning dummy directorate,I feel free to speak my mind without fear of negative consequences.. ,Agree,,Active,Standard full time,234565,Permanent,Employee,,,,,,,,
Financial Planning dummy directorate,Senior leaders (Governors and Executives) demonstrate a visible commitment to diversity.,Strongly Agree,,Active,Standard full time,234565,Permanent,Employee,,,,,,,,
Financial Planning dummy directorate,I have been able to successfully balance my work and personal life.,Agree,,Active,Standard full time,987655,Permanent,Employee,,,,,,,,
Financial Planning dummy directorate,"Overall, I am satisfied with my current role at the Bank.",Agree,,Active,Standard full time,987655,Permanent,Employee,,,,,,,,
Financial Planning dummy directorate,Senior Management in my directorate value different perspectives.,Agree,,Active,Standard full time,465235,Permanent,Employee,,,,,,,,
Financial Planning dummy directorate,The Bank fosters an environment where everyone can be themselves.,Strongly Agree,,Active,Standard full time,465235,Permanent,Employee,,,,,,,,
Financial Planning dummy directorate,I am able to cope effectively with work-related stress. ,Not Answered,,Active,Standard full time,465235,Permanent,Employee,,,,,,,,
Financial Planning dummy directorate,I feel free to speak my mind without fear of negative consequences.. ,Strongly Agree,,Active,Standard full time,465235,Permanent,Employee,,,,,,,,
Financial Planning dummy directorate,Senior leaders (Governors and Executives) demonstrate a visible commitment to diversity.,Agree,,Active,Standard full time,465235,Permanent,Employee,,,,,,,,
Financial Planning dummy directorate,I have been able to successfully balance my work and personal life.,Strongly Agree,,Active,Temporary part time,234561,Permanent,Employee,,,,,,,,
Financial Planning dummy directorate,"Overall, I am satisfied with my current role at the Bank.",Strongly Agree,,Active,Temporary part time,234561,Permanent,Employee,,,,,,,,
Financial Planning dummy directorate,Senior Management in my directorate value different perspectives.,Strongly Agree,,Active,Standard part time,245661,Permanent,Employee,,,,,,,,
Financial Planning dummy directorate,The Bank fosters an environment where everyone can be themselves.,Strongly Agree,,Active,Standard part time,245661,Permanent,Employee,,,,,,,,
