Directorate,Question Text,Question Text Group,Response Answer,Assignment Category,Person Number,Termination Date,Allocation Date,User Person Type,Enterprise Hire Date,Month,Response Text,Response Date and Time,Grade Name,Length Of Service
Financial Planning dummy directorate,"Overall, I am satisfied with my current role at the Bank.",About the leaver’s role,Agree,Standard full time,725871,27/05/2023,28/04/2023,Permanent,23/02/2015,2023 / 04,,28/04/2023,Scale I,8.260273973
Financial Planning dummy directorate,I am satisfied with the way I have been managed.,About the leaver’s role,Not Answered,Standard full time,725885,12/07/2023,17/04/2023,Permanent,09/03/2015,2023 / 06,,09/06/2023,Scale G,8.347945205
Financial Planning dummy directorate,I have been able to make the best of my skills and knowledge.,About the leaver’s role,Not Answered,Standard full time,725885,12/07/2023,17/04/2023,Permanent,09/03/2015,2023 / 06,,09/06/2023,Scale G,8.347945205
Financial Planning dummy directorate,I have been able to successfully balance my work and personal life.,About the leaver’s role,Not Answered,Standard full time,725885,12/07/2023,17/04/2023,Permanent,09/03/2015,2023 / 06,,09/06/2023,Scale G,8.347945205
Financial Planning dummy directorate,I have been suitably equipped to do my job.,About the leaver’s role,Not Answered,Standard full time,725885,12/07/2023,17/04/2023,Permanent,09/03/2015,2023 / 06,,09/06/2023,Scale G,8.347945205
Financial Planning dummy directorate,"Overall, I am satisfied with my current role at the Bank.",About the leaver’s role,Not Answered,Standard full time,725885,12/07/2023,17/04/2023,Permanent,09/03/2015,2023 / 06,,09/06/2023,Scale G,8.347945205
Financial Planning dummy directorate,I am satisfied with the way I have been managed.,About the leaver’s role,Strongly Agree,Temporary part time,725922,15/06/2023,15/05/2023,Permanent,02/03/2015,2023 / 06,,12/06/2023,Scale I,8.293150685
Financial Planning dummy directorate,I have been able to make the best of my skills and knowledge.,About the leaver’s role,Agree,Temporary part time,725922,15/06/2023,15/05/2023,Permanent,02/03/2015,2023 / 06,,12/06/2023,Scale I,8.293150685
Financial Planning dummy directorate,I have been able to successfully balance my work and personal life.,About the leaver’s role,Strongly Agree,Temporary part time,725922,15/06/2023,15/05/2023,Permanent,02/03/2015,2023 / 06,,12/06/2023,Scale I,8.293150685
Financial Planning dummy directorate,I have been suitably equipped to do my job.,About the leaver’s role,Agree,Temporary part time,725922,15/06/2023,15/05/2023,Permanent,02/03/2015,2023 / 06,,12/06/2023,Scale I,8.293150685
Financial Planning dummy directorate,"Overall, I am satisfied with my current role at the Bank.",About the leaver’s role,Agree,Temporary part time,725922,15/06/2023,15/05/2023,Permanent,02/03/2015,2023 / 06,,12/06/2023,Scale I,8.293150685
Financial Planning dummy directorate,I am satisfied with the way I have been managed.,About the leaver’s role,Strongly Disagree,Standard full time,725948,04/01/2024,06/10/2023,Permanent,30/03/2015,2023 / 10,,30/10/2023,Scale D,8.77260274
Financial Planning dummy directorate,I have been able to make the best of my skills and knowledge.,About the leaver’s role,Disagree,Standard full time,725948,04/01/2024,06/10/2023,Permanent,30/03/2015,2023 / 10,,30/10/2023,Scale D,8.77260274
Financial Planning dummy directorate,I have been able to successfully balance my work and personal life.,About the leaver’s role,Strongly Disagree,Standard full time,725948,04/01/2024,06/10/2023,Permanent,30/03/2015,2023 / 10,,30/10/2023,Scale D,8.77260274
Financial Planning dummy directorate,I have been suitably equipped to do my job.,About the leaver’s role,Agree,Standard full time,725948,04/01/2024,06/10/2023,Permanent,30/03/2015,2023 / 10,,30/10/2023,Scale D,8.77260274
Financial Planning dummy directorate,"Overall, I am satisfied with my current role at the Bank.",About the leaver’s role,Disagree,Standard full time,725948,04/01/2024,06/10/2023,Permanent,30/03/2015,2023 / 10,,30/10/2023,Scale D,8.77260274
Financial Planning dummy directorate,I am satisfied with the way I have been managed.,About the leaver’s role,Disagree,Standard full time,726105,01/06/2023,03/05/2023,Permanent,18/05/2015,2023 / 05,,12/05/2023,Scale H,8.043835616
Financial Planning dummy directorate,I have been able to make the best of my skills and knowledge.,About the leaver’s role,Strongly Disagree,Standard full time,726105,01/06/2023,03/05/2023,Permanent,18/05/2015,2023 / 05,,12/05/2023,Scale H,8.043835616
Financial Planning dummy directorate,I have been able to successfully balance my work and personal life.,About the leaver’s role,Strongly Agree,Standard full time,726105,01/06/2023,03/05/2023,Permanent,18/05/2015,2023 / 05,,12/05/2023,Scale H,8.043835616
Financial Planning dummy directorate,I have been suitably equipped to do my job.,About the leaver’s role,Disagree,Standard full time,726105,01/06/2023,03/05/2023,Permanent,18/05/2015,2023 / 05,,12/05/2023,Scale H,8.043835616
Financial Planning dummy directorate,"Overall, I am satisfied with my current role at the Bank.",About the leaver’s role,Strongly Disagree,Standard full time,726105,01/06/2023,03/05/2023,Permanent,18/05/2015,2023 / 05,,12/05/2023,Scale H,8.043835616
Financial Planning dummy directorate,I am satisfied with the way I have been managed.,About the leaver’s role,Strongly Agree,Standard full time,726727,07/07/2023,08/06/2023,Permanent,13/07/2015,2023 / 06,,08/06/2023,Scale H,7.989041096
Financial Planning dummy directorate,I have been able to make the best of my skills and knowledge.,About the leaver’s role,Agree,Standard full time,726727,07/07/2023,08/06/2023,Permanent,13/07/2015,2023 / 06,,08/06/2023,Scale H,7.989041096
Financial Planning dummy directorate,I have been able to successfully balance my work and personal life.,About the leaver’s role,Disagree,Standard full time,726727,07/07/2023,08/06/2023,Permanent,13/07/2015,2023 / 06,,08/06/2023,Scale H,7.989041096
Financial Planning dummy directorate,I have been suitably equipped to do my job.,About the leaver’s role,Disagree,Standard full time,726727,07/07/2023,08/06/2023,Permanent,13/07/2015,2023 / 06,,08/06/2023,Scale H,7.989041096
Financial Planning dummy directorate,"Overall, I am satisfied with my current role at the Bank.",About the leaver’s role,Agree,Standard full time,726727,07/07/2023,08/06/2023,Permanent,13/07/2015,2023 / 06,,08/06/2023,Scale H,7.989041096
Financial Planning dummy directorate,I felt equipped with the appropriate resources and tools to effectively carry out my role,About the leaver’s role,Agree,Standard part time,726401,02/12/2022,10/10/2022,Permanent,30/06/2015,2022 / 11,,16/11/2022,Scale F,7.430136986
Financial Planning dummy directorate,I felt supported by my managers,About the leaver’s role,Agree,Standard part time,726401,02/12/2022,10/10/2022,Permanent,30/06/2015,2022 / 11,,16/11/2022,Scale F,7.430136986
Financial Planning dummy directorate,I was able to stay on top of the demands of the job and achieve an appropriate work life balance,About the leaver’s role,Not Answered,Standard part time,726401,02/12/2022,10/10/2022,Permanent,30/06/2015,2022 / 11,,16/11/2022,Scale F,7.430136986
Financial Planning dummy directorate,"My knowledge, skills and experience were utilised effectively in the role",About the leaver’s role,Disagree,Standard part time,726401,02/12/2022,10/10/2022,Permanent,30/06/2015,2022 / 11,,16/11/2022,Scale F,7.430136986
Financial Planning dummy directorate,My role was considered important within the Bank and made a difference,About the leaver’s role,Strongly Disagree,Standard part time,726401,02/12/2022,10/10/2022,Permanent,30/06/2015,2022 / 11,,16/11/2022,Scale F,7.430136986
Financial Planning dummy directorate,I felt equipped with the appropriate resources and tools to effectively carry out my role,About the leaver’s role,Agree,Standard full time,726486,07/03/2023,08/12/2022,Permanent,24/08/2015,2023 / 02,,15/02/2023,Scale F,7.539726027
Financial Planning dummy directorate,I felt supported by my managers,About the leaver’s role,Strongly Agree,Standard full time,726486,07/03/2023,08/12/2022,Permanent,24/08/2015,2023 / 02,,15/02/2023,Scale F,7.539726027
Financial Planning dummy directorate,I was able to stay on top of the demands of the job and achieve an appropriate work life balance,About the leaver’s role,Not Answered,Standard full time,726486,07/03/2023,08/12/2022,Permanent,24/08/2015,2023 / 02,,15/02/2023,Scale F,7.539726027
Financial Planning dummy directorate,"My knowledge, skills and experience were utilised effectively in the role",About the leaver’s role,Agree,Standard full time,726486,07/03/2023,08/12/2022,Permanent,24/08/2015,2023 / 02,,15/02/2023,Scale F,7.539726027
Financial Planning dummy directorate,My role was considered important within the Bank and made a difference,About the leaver’s role,Strongly Agree,Standard full time,726486,07/03/2023,08/12/2022,Permanent,24/08/2015,2023 / 02,,15/02/2023,Scale F,7.539726027
Financial Planning dummy directorate,I am satisfied with the way I have been managed.,About the leaver’s role,Strongly Agree,Standard full time,726550,29/09/2023,03/07/2023,Permanent,07/09/2015,2023 / 07,,03/07/2023,Scale G,8.065753425
Financial Planning dummy directorate,I have been able to make the best of my skills and knowledge.,About the leaver’s role,Agree,Standard full time,726550,29/09/2023,03/07/2023,Permanent,07/09/2015,2023 / 07,,03/07/2023,Scale G,8.065753425
Financial Planning dummy directorate,I have been able to successfully balance my work and personal life.,About the leaver’s role,Strongly Agree,Standard full time,726550,29/09/2023,03/07/2023,Permanent,07/09/2015,2023 / 07,,03/07/2023,Scale G,8.065753425
Financial Planning dummy directorate,I have been suitably equipped to do my job.,About the leaver’s role,Agree,Standard full time,726550,29/09/2023,03/07/2023,Permanent,07/09/2015,2023 / 07,,03/07/2023,Scale G,8.065753425
Financial Planning dummy directorate,"Overall, I am satisfied with my current role at the Bank.",About the leaver’s role,Agree,Standard full time,726550,29/09/2023,03/07/2023,Permanent,07/09/2015,2023 / 07,,03/07/2023,Scale G,8.065753425
Financial Planning dummy directorate,I am satisfied with the way I have been managed.,About the leaver’s role,Disagree,Standard full time,726582,06/11/2023,19/10/2023,Permanent,01/09/2015,2023 / 10,,19/10/2023,Scale D,8.18630137
Financial Planning dummy directorate,I have been able to make the best of my skills and knowledge.,About the leaver’s role,Disagree,Standard full time,726582,06/11/2023,19/10/2023,Permanent,01/09/2015,2023 / 10,,19/10/2023,Scale D,8.18630137
Financial Planning dummy directorate,I have been able to successfully balance my work and personal life.,About the leaver’s role,Agree,Standard full time,726582,06/11/2023,19/10/2023,Permanent,01/09/2015,2023 / 10,,19/10/2023,Scale D,8.18630137
Financial Planning dummy directorate,I have been suitably equipped to do my job.,About the leaver’s role,Agree,Standard full time,726582,06/11/2023,19/10/2023,Permanent,01/09/2015,2023 / 10,,19/10/2023,Scale D,8.18630137
Financial Planning dummy directorate,"Overall, I am satisfied with my current role at the Bank.",About the leaver’s role,Strongly Disagree,Standard full time,726582,06/11/2023,19/10/2023,Permanent,01/09/2015,2023 / 10,,19/10/2023,Scale D,8.18630137
Financial Planning dummy directorate,I am satisfied with the way I have been managed.,About the leaver’s role,Strongly Agree,Standard part time,726617,27/06/2023,24/03/2023,Permanent,05/10/2015,2023 / 04,,11/04/2023,Scale E,7.731506849
Financial Planning dummy directorate,I have been able to make the best of my skills and knowledge.,About the leaver’s role,Strongly Agree,Standard part time,726617,27/06/2023,24/03/2023,Permanent,05/10/2015,2023 / 04,,11/04/2023,Scale E,7.731506849
Financial Planning dummy directorate,I have been able to successfully balance my work and personal life.,About the leaver’s role,Strongly Agree,Standard part time,726617,27/06/2023,24/03/2023,Permanent,05/10/2015,2023 / 04,,11/04/2023,Scale E,7.731506849
Financial Planning dummy directorate,I have been suitably equipped to do my job.,About the leaver’s role,Strongly Agree,Standard part time,726617,27/06/2023,24/03/2023,Permanent,05/10/2015,2023 / 04,,11/04/2023,Scale E,7.731506849
Financial Planning dummy directorate,"Overall, I am satisfied with my current role at the Bank.",About the leaver’s role,Strongly Agree,Standard part time,726617,27/06/2023,24/03/2023,Permanent,05/10/2015,2023 / 04,,11/04/2023,Scale E,7.731506849
Financial Planning dummy directorate,I felt equipped with the appropriate resources and tools to effectively carry out my role,About the leaver’s role,Agree,Standard full time,726688,07/04/2023,13/01/2023,Permanent,28/09/2015,2023 / 03,,21/03/2023,Scale G,7.528767123
Financial Planning dummy directorate,I felt supported by my managers,About the leaver’s role,Strongly Agree,Standard full time,726688,07/04/2023,13/01/2023,Permanent,28/09/2015,2023 / 03,,21/03/2023,Scale G,7.528767123
Financial Planning dummy directorate,I was able to stay on top of the demands of the job and achieve an appropriate work life balance,About the leaver’s role,Not Answered,Standard full time,726688,07/04/2023,13/01/2023,Permanent,28/09/2015,2023 / 03,,21/03/2023,Scale G,7.528767123
Financial Planning dummy directorate,"My knowledge, skills and experience were utilised effectively in the role",About the leaver’s role,Agree,Standard full time,726688,07/04/2023,13/01/2023,Permanent,28/09/2015,2023 / 03,,21/03/2023,Scale G,7.528767123
Financial Planning dummy directorate,My role was considered important within the Bank and made a difference,About the leaver’s role,Agree,Standard full time,726688,07/04/2023,13/01/2023,Permanent,28/09/2015,2023 / 03,,21/03/2023,Scale G,7.528767123
Financial Planning dummy directorate,I felt equipped with the appropriate resources and tools to effectively carry out my role,About the leaver’s role,Agree,Standard full time,726771,17/03/2023,19/01/2023,Permanent,05/10/2015,2023 / 01,,19/01/2023,Scale G,7.452054795
Financial Planning dummy directorate,I felt supported by my managers,About the leaver’s role,Strongly Agree,Standard full time,726771,17/03/2023,19/01/2023,Permanent,05/10/2015,2023 / 01,,19/01/2023,Scale G,7.452054795
Financial Planning dummy directorate,I was able to stay on top of the demands of the job and achieve an appropriate work life balance,About the leaver’s role,Not Answered,Standard full time,726771,17/03/2023,19/01/2023,Permanent,05/10/2015,2023 / 01,,19/01/2023,Scale G,7.452054795
Financial Planning dummy directorate,"My knowledge, skills and experience were utilised effectively in the role",About the leaver’s role,Agree,Standard full time,726771,17/03/2023,19/01/2023,Permanent,05/10/2015,2023 / 01,,19/01/2023,Scale G,7.452054795
Financial Planning dummy directorate,My role was considered important within the Bank and made a difference,About the leaver’s role,Agree,Standard full time,726771,17/03/2023,19/01/2023,Permanent,05/10/2015,2023 / 01,,19/01/2023,Scale G,7.452054795
Financial Planning dummy directorate,I am satisfied with the way I have been managed.,About the leaver’s role,Strongly Disagree,Standard full time,726905,06/10/2023,07/08/2023,Permanent,04/04/2016,2023 / 08,,08/08/2023,Scale D,7.509589041
Financial Planning dummy directorate,I have been able to make the best of my skills and knowledge.,About the leaver’s role,Strongly Disagree,Standard full time,726905,06/10/2023,07/08/2023,Permanent,04/04/2016,2023 / 08,,08/08/2023,Scale D,7.509589041
Financial Planning dummy directorate,I have been able to successfully balance my work and personal life.,About the leaver’s role,Disagree,Standard full time,726905,06/10/2023,07/08/2023,Permanent,04/04/2016,2023 / 08,,08/08/2023,Scale D,7.509589041
Financial Planning dummy directorate,I have been suitably equipped to do my job.,About the leaver’s role,Strongly Disagree,Standard full time,726905,06/10/2023,07/08/2023,Permanent,04/04/2016,2023 / 08,,08/08/2023,Scale D,7.509589041
Financial Planning dummy directorate,"Overall, I am satisfied with my current role at the Bank.",About the leaver’s role,Strongly Disagree,Standard full time,726905,06/10/2023,07/08/2023,Permanent,04/04/2016,2023 / 08,,08/08/2023,Scale D,7.509589041
Financial Planning dummy directorate,I felt equipped with the appropriate resources and tools to effectively carry out my role,About the leaver’s role,Agree,Shift Worker,726979,09/03/2023,15/12/2022,Permanent,11/01/2016,2023 / 01,,06/01/2023,Scale G,7.161643836
Financial Planning dummy directorate,I felt supported by my managers,About the leaver’s role,Agree,Shift Worker,726979,09/03/2023,15/12/2022,Permanent,11/01/2016,2023 / 01,,06/01/2023,Scale G,7.161643836
Financial Planning dummy directorate,I was able to stay on top of the demands of the job and achieve an appropriate work life balance,About the leaver’s role,Not Answered,Shift Worker,726979,09/03/2023,15/12/2022,Permanent,11/01/2016,2023 / 01,,06/01/2023,Scale G,7.161643836
Financial Planning dummy directorate,"My knowledge, skills and experience were utilised effectively in the role",About the leaver’s role,Disagree,Shift Worker,726979,09/03/2023,15/12/2022,Permanent,11/01/2016,2023 / 01,,06/01/2023,Scale G,7.161643836
Financial Planning dummy directorate,My role was considered important within the Bank and made a difference,About the leaver’s role,Agree,Shift Worker,726979,09/03/2023,15/12/2022,Permanent,11/01/2016,2023 / 01,,06/01/2023,Scale G,7.161643836
Financial Planning dummy directorate,I am satisfied with the way I have been managed.,About the leaver’s role,Strongly Agree,Standard full time,726977,07/07/2023,06/04/2023,Permanent,01/03/2016,2023 / 04,,06/04/2023,Scale D,7.353424658
Financial Planning dummy directorate,I have been able to make the best of my skills and knowledge.,About the leaver’s role,Strongly Agree,Standard full time,726977,07/07/2023,06/04/2023,Permanent,01/03/2016,2023 / 04,,06/04/2023,Scale D,7.353424658
Financial Planning dummy directorate,I have been able to successfully balance my work and personal life.,About the leaver’s role,Strongly Agree,Standard full time,726977,07/07/2023,06/04/2023,Permanent,01/03/2016,2023 / 04,,06/04/2023,Scale D,7.353424658
Financial Planning dummy directorate,I have been suitably equipped to do my job.,About the leaver’s role,Disagree,Standard full time,726977,07/07/2023,06/04/2023,Permanent,01/03/2016,2023 / 04,,06/04/2023,Scale D,7.353424658
Financial Planning dummy directorate,"Overall, I am satisfied with my current role at the Bank.",About the leaver’s role,Strongly Agree,Standard full time,726977,07/07/2023,06/04/2023,Permanent,01/03/2016,2023 / 04,,06/04/2023,Scale D,7.353424658
Financial Planning dummy directorate,I am satisfied with the way I have been managed.,About the leaver’s role,Agree,Standard full time,727070,06/09/2023,07/06/2023,Permanent,10/09/2018,2023 / 06,,22/06/2023,Scale F,4.991780822
Financial Planning dummy directorate,I have been able to make the best of my skills and knowledge.,About the leaver’s role,Disagree,Standard full time,727070,06/09/2023,07/06/2023,Permanent,10/09/2018,2023 / 06,,22/06/2023,Scale F,4.991780822
Financial Planning dummy directorate,I have been able to successfully balance my work and personal life.,About the leaver’s role,Strongly Agree,Standard full time,727070,06/09/2023,07/06/2023,Permanent,10/09/2018,2023 / 06,,22/06/2023,Scale F,4.991780822
Financial Planning dummy directorate,I have been suitably equipped to do my job.,About the leaver’s role,Agree,Standard full time,727070,06/09/2023,07/06/2023,Permanent,10/09/2018,2023 / 06,,22/06/2023,Scale F,4.991780822
Financial Planning dummy directorate,"Overall, I am satisfied with my current role at the Bank.",About the leaver’s role,Disagree,Standard full time,727070,06/09/2023,07/06/2023,Permanent,10/09/2018,2023 / 06,,22/06/2023,Scale F,4.991780822
Financial Planning dummy directorate,I am satisfied with the way I have been managed.,About the leaver’s role,Agree,Standard full time,727077,15/12/2023,15/09/2023,Permanent,10/09/2018,2023 / 10,,12/10/2023,Scale F,5.265753425
Financial Planning dummy directorate,I have been able to make the best of my skills and knowledge.,About the leaver’s role,Agree,Standard full time,727077,15/12/2023,15/09/2023,Permanent,10/09/2018,2023 / 10,,12/10/2023,Scale F,5.265753425
Financial Planning dummy directorate,I have been able to successfully balance my work and personal life.,About the leaver’s role,Agree,Standard full time,727077,15/12/2023,15/09/2023,Permanent,10/09/2018,2023 / 10,,12/10/2023,Scale F,5.265753425
Financial Planning dummy directorate,I have been suitably equipped to do my job.,About the leaver’s role,Agree,Standard full time,727077,15/12/2023,15/09/2023,Permanent,10/09/2018,2023 / 10,,12/10/2023,Scale F,5.265753425
Financial Planning dummy directorate,"Overall, I am satisfied with my current role at the Bank.",About the leaver’s role,Agree,Standard full time,727077,15/12/2023,15/09/2023,Permanent,10/09/2018,2023 / 10,,12/10/2023,Scale F,5.265753425
Financial Planning dummy directorate,I am satisfied with the way I have been managed.,About the leaver’s role,Agree,Standard full time,727042,23/06/2023,05/05/2023,Permanent,09/05/2016,2023 / 05,,30/05/2023,Scale E,7.126027397
Financial Planning dummy directorate,I have been able to make the best of my skills and knowledge.,About the leaver’s role,Agree,Standard full time,727042,23/06/2023,05/05/2023,Permanent,09/05/2016,2023 / 05,,30/05/2023,Scale E,7.126027397
Financial Planning dummy directorate,I have been able to successfully balance my work and personal life.,About the leaver’s role,Agree,Standard full time,727042,23/06/2023,05/05/2023,Permanent,09/05/2016,2023 / 05,,30/05/2023,Scale E,7.126027397
Financial Planning dummy directorate,I have been suitably equipped to do my job.,About the leaver’s role,Agree,Standard full time,727042,23/06/2023,05/05/2023,Permanent,09/05/2016,2023 / 05,,30/05/2023,Scale E,7.126027397
Financial Planning dummy directorate,"Overall, I am satisfied with my current role at the Bank.",About the leaver’s role,Agree,Standard full time,727042,23/06/2023,05/05/2023,Permanent,09/05/2016,2023 / 05,,30/05/2023,Scale E,7.126027397
Financial Planning dummy directorate,I felt equipped with the appropriate resources and tools to effectively carry out my role,About the leaver’s role,Agree,Standard full time,727061,19/04/2023,25/01/2023,Permanent,10/09/2018,2023 / 01,,25/01/2023,Scale F,4.608219178
Financial Planning dummy directorate,I felt supported by my managers,About the leaver’s role,Strongly Agree,Standard full time,727061,19/04/2023,25/01/2023,Permanent,10/09/2018,2023 / 01,,25/01/2023,Scale F,4.608219178
Financial Planning dummy directorate,I was able to stay on top of the demands of the job and achieve an appropriate work life balance,About the leaver’s role,Not Answered,Standard full time,727061,19/04/2023,25/01/2023,Permanent,10/09/2018,2023 / 01,,25/01/2023,Scale F,4.608219178
Financial Planning dummy directorate,"My knowledge, skills and experience were utilised effectively in the role",About the leaver’s role,Agree,Standard full time,727061,19/04/2023,25/01/2023,Permanent,10/09/2018,2023 / 01,,25/01/2023,Scale F,4.608219178
Financial Planning dummy directorate,My role was considered important within the Bank and made a difference,About the leaver’s role,Agree,Standard full time,727061,19/04/2023,25/01/2023,Permanent,10/09/2018,2023 / 01,,25/01/2023,Scale F,4.608219178
Financial Planning dummy directorate,I felt equipped with the appropriate resources and tools to effectively carry out my role,About the leaver’s role,Agree,Standard full time,727075,02/06/2023,08/03/2023,Permanent,10/09/2018,2023 / 03,,21/03/2023,Scale F,4.728767123
Financial Planning dummy directorate,I felt supported by my managers,About the leaver’s role,Strongly Agree,Standard full time,727075,02/06/2023,08/03/2023,Permanent,10/09/2018,2023 / 03,,21/03/2023,Scale F,4.728767123
Financial Planning dummy directorate,I was able to stay on top of the demands of the job and achieve an appropriate work life balance,About the leaver’s role,Not Answered,Standard full time,727075,02/06/2023,08/03/2023,Permanent,10/09/2018,2023 / 03,,21/03/2023,Scale F,4.728767123
Financial Planning dummy directorate,"My knowledge, skills and experience were utilised effectively in the role",About the leaver’s role,Agree,Standard full time,727075,02/06/2023,08/03/2023,Permanent,10/09/2018,2023 / 03,,21/03/2023,Scale F,4.728767123
Financial Planning dummy directorate,My role was considered important within the Bank and made a difference,About the leaver’s role,Agree,Standard full time,727075,02/06/2023,08/03/2023,Permanent,10/09/2018,2023 / 03,,21/03/2023,Scale F,4.728767123
Financial Planning dummy directorate,I am satisfied with the way I have been managed.,About the leaver’s role,Agree,Standard part time,727082,25/05/2023,17/05/2023,Permanent,25/09/2017,2023 / 05,,18/05/2023,Scale F,1.216438356
Financial Planning dummy directorate,I have been able to make the best of my skills and knowledge.,About the leaver’s role,Disagree,Standard part time,727082,25/05/2023,17/05/2023,Permanent,25/09/2017,2023 / 05,,18/05/2023,Scale F,1.216438356
Financial Planning dummy directorate,I have been able to successfully balance my work and personal life.,About the leaver’s role,Disagree,Standard part time,727082,25/05/2023,17/05/2023,Permanent,25/09/2017,2023 / 05,,18/05/2023,Scale F,1.216438356
Financial Planning dummy directorate,I have been suitably equipped to do my job.,About the leaver’s role,Agree,Standard part time,727082,25/05/2023,17/05/2023,Permanent,25/09/2017,2023 / 05,,18/05/2023,Scale F,1.216438356
Financial Planning dummy directorate,"Overall, I am satisfied with my current role at the Bank.",About the leaver’s role,Disagree,Standard part time,727082,25/05/2023,17/05/2023,Permanent,25/09/2017,2023 / 05,,18/05/2023,Scale F,1.216438356
Financial Planning dummy directorate,I am satisfied with the way I have been managed.,About the leaver’s role,Agree,Standard full time,727095,12/06/2023,13/03/2023,Permanent,07/03/2016,2023 / 03,,14/03/2023,Scale E,7.268493151
Financial Planning dummy directorate,I have been able to make the best of my skills and knowledge.,About the leaver’s role,Agree,Standard full time,727095,12/06/2023,13/03/2023,Permanent,07/03/2016,2023 / 03,,14/03/2023,Scale E,7.268493151
Financial Planning dummy directorate,I have been able to successfully balance my work and personal life.,About the leaver’s role,Agree,Standard full time,727095,12/06/2023,13/03/2023,Permanent,07/03/2016,2023 / 03,,14/03/2023,Scale E,7.268493151
Financial Planning dummy directorate,I have been suitably equipped to do my job.,About the leaver’s role,Agree,Standard full time,727095,12/06/2023,13/03/2023,Permanent,07/03/2016,2023 / 03,,14/03/2023,Scale E,7.268493151
Financial Planning dummy directorate,"Overall, I am satisfied with my current role at the Bank.",About the leaver’s role,Disagree,Standard full time,727095,12/06/2023,13/03/2023,Permanent,07/03/2016,2023 / 03,,14/03/2023,Scale E,7.268493151
Financial Planning dummy directorate,I am satisfied with the way I have been managed.,About the leaver’s role,Strongly Disagree,Standard full time,727097,31/12/2023,19/10/2023,Permanent,01/02/2016,2023 / 10,,31/10/2023,Scale D,7.917808219
Financial Planning dummy directorate,I have been able to make the best of my skills and knowledge.,About the leaver’s role,Strongly Disagree,Standard full time,727097,31/12/2023,19/10/2023,Permanent,01/02/2016,2023 / 10,,31/10/2023,Scale D,7.917808219
Financial Planning dummy directorate,I have been able to successfully balance my work and personal life.,About the leaver’s role,Strongly Agree,Standard full time,727097,31/12/2023,19/10/2023,Permanent,01/02/2016,2023 / 10,,31/10/2023,Scale D,7.917808219
Financial Planning dummy directorate,I have been suitably equipped to do my job.,About the leaver’s role,Strongly Agree,Standard full time,727097,31/12/2023,19/10/2023,Permanent,01/02/2016,2023 / 10,,31/10/2023,Scale D,7.917808219
Financial Planning dummy directorate,"Overall, I am satisfied with my current role at the Bank.",About the leaver’s role,Strongly Disagree,Standard full time,727097,31/12/2023,19/10/2023,Permanent,01/02/2016,2023 / 10,,31/10/2023,Scale D,7.917808219
Financial Planning dummy directorate,I am satisfied with the way I have been managed.,About the leaver’s role,Agree,Standard full time,727225,11/08/2023,03/05/2023,Permanent,04/04/2016,2023 / 05,,03/05/2023,Scale E,7.356164384
Financial Planning dummy directorate,I have been able to make the best of my skills and knowledge.,About the leaver’s role,Agree,Standard full time,727225,11/08/2023,03/05/2023,Permanent,04/04/2016,2023 / 05,,03/05/2023,Scale E,7.356164384
Financial Planning dummy directorate,I have been able to successfully balance my work and personal life.,About the leaver’s role,Strongly Agree,Standard full time,727225,11/08/2023,03/05/2023,Permanent,04/04/2016,2023 / 05,,03/05/2023,Scale E,7.356164384
Financial Planning dummy directorate,I have been suitably equipped to do my job.,About the leaver’s role,Agree,Standard full time,727225,11/08/2023,03/05/2023,Permanent,04/04/2016,2023 / 05,,03/05/2023,Scale E,7.356164384
Financial Planning dummy directorate,"Overall, I am satisfied with my current role at the Bank.",About the leaver’s role,Agree,Standard full time,727225,11/08/2023,03/05/2023,Permanent,04/04/2016,2023 / 05,,03/05/2023,Scale E,7.356164384
Financial Planning dummy directorate,I am satisfied with the way I have been managed.,About the leaver’s role,Agree,Standard full time,727287,27/09/2023,30/06/2023,Permanent,12/09/2016,2023 / 08,,21/08/2023,Scale F,7.043835616
Financial Planning dummy directorate,I have been able to make the best of my skills and knowledge.,About the leaver’s role,Agree,Standard full time,727287,27/09/2023,30/06/2023,Permanent,12/09/2016,2023 / 08,,21/08/2023,Scale F,7.043835616
Financial Planning dummy directorate,I have been able to successfully balance my work and personal life.,About the leaver’s role,Agree,Standard full time,727287,27/09/2023,30/06/2023,Permanent,12/09/2016,2023 / 08,,21/08/2023,Scale F,7.043835616
Financial Planning dummy directorate,I have been suitably equipped to do my job.,About the leaver’s role,Agree,Standard full time,727287,27/09/2023,30/06/2023,Permanent,12/09/2016,2023 / 08,,21/08/2023,Scale F,7.043835616
Financial Planning dummy directorate,"Overall, I am satisfied with my current role at the Bank.",About the leaver’s role,Agree,Standard full time,727287,27/09/2023,30/06/2023,Permanent,12/09/2016,2023 / 08,,21/08/2023,Scale F,7.043835616
Financial Planning dummy directorate,I felt equipped with the appropriate resources and tools to effectively carry out my role,About the leaver’s role,Prefer not to say,Standard full time,727715,12/05/2023,20/02/2023,Permanent,06/06/2016,2023 / 03,,13/03/2023,Scale E,6.934246575
Financial Planning dummy directorate,I felt supported by my managers,About the leaver’s role,Prefer not to say,Standard full time,727715,12/05/2023,20/02/2023,Permanent,06/06/2016,2023 / 03,,13/03/2023,Scale E,6.934246575
Financial Planning dummy directorate,I was able to stay on top of the demands of the job and achieve an appropriate work life balance,About the leaver’s role,Not Answered,Standard full time,727715,12/05/2023,20/02/2023,Permanent,06/06/2016,2023 / 03,,13/03/2023,Scale E,6.934246575
